#{"t_start": 1764217514.1654038, "env_id": "CarRacing-v3"}
r,l,t
-62.14511,1000,2991.585192
-62.457338,1000,3000.582694
17.647059,1000,3009.622903
-65.034965,1000,3018.949661
-50.530035,1000,3029.0112
-46.308725,1000,3038.608014
-24.092409,1000,3047.932695
7.296137,1000,3057.36651
-63.099631,1000,3066.899778
-68.454259,1000,3076.135824
-75.0,1000,3085.436396
-27.586207,1000,3094.753488
-54.063604,1000,3104.186833
-40.828402,1000,3113.616812
-43.060498,1000,3122.803956
136.162362,1000,3132.048637
-58.188153,1000,3141.363761
-43.452381,1000,3150.995365
-15.360502,1000,3160.509336
-70.238095,1000,3170.045282
-18.439716,1000,3179.731374
49.53271,1000,3189.339796
13.793103,1000,3198.501194
-0.862069,1000,3207.626845
-31.899642,1000,3217.087749
243.51145,1000,3226.476505
-63.45515,1000,3235.912271
-19.298246,1000,3245.643342
77.21519,1000,3255.337802
-65.079365,1000,3265.287524
216.176471,1000,3274.385252
-30.06993,1000,3283.596304
-41.176471,1000,3294.615638
-69.69697,1000,3303.863023
-3.780069,1000,3312.909519
-67.105263,1000,3322.117139
-58.955224,1000,3331.89888
-16.932907,1000,3341.508587
-10.25641,1000,3351.302334
-65.156794,1000,3360.677767
-64.052288,1000,3370.509451
95.512821,1000,3380.030805
-46.153846,1000,3388.991994
89.964158,1000,3398.370482
-56.6787,1000,3407.868274
-26.253687,1000,3417.161189
-40.074906,1000,3425.838574
124.615385,1000,3434.998005
49.797571,1000,3444.601805
-30.693069,1000,3453.519452
-67.105263,1000,3462.841937
-82.142857,1000,3472.039868
24.55516,1000,3481.385496
43.302181,1000,3490.564099
-51.851852,1000,3499.486075
37.809187,1000,3508.683452
-12.133891,1000,3517.60496
-41.368078,1000,3527.488678
-40.652819,1000,3537.142674
-11.564626,1000,3546.738948
-55.555556,1000,3556.314015
20.12987,1000,3565.453601
-75.757576,1000,3574.432906
-24.590164,1000,3583.545564
-72.222222,1000,3592.596579
-42.965779,1000,3601.621384
-29.577465,1000,3611.077381
-45.3125,1000,3620.431568
-75.265018,1000,3629.683018
-50.35461,1000,3638.977217
-51.140065,1000,3648.450245
1.886792,1000,3657.809466
-74.763407,1000,3668.028634
-67.391304,1000,3677.52507
1.083032,1000,3687.20279
-69.491525,1000,3697.407926
-56.081081,1000,3707.291914
-39.716312,1000,3716.471718
-27.33564,1000,3725.73076
-63.235294,1000,3735.272869
-62.546816,1000,3744.813463
-51.612903,1000,3754.24636
-2.735562,1000,3763.929869
42.29249,1000,3773.311504
-31.596091,1000,3783.440282
-166.356426,884,3792.023074
0.946372,1000,3801.988988
-74.193548,1000,3811.567888
-55.172414,1000,3821.333754
8.843537,1000,3831.305371
-16.058394,1000,3841.38491
-0.70922,1000,3851.123425
-40.251572,1000,3860.726658
-67.602299,223,3862.847667
106.779661,1000,3872.486565
-3.448276,1000,3881.72763
30.815789,206,3883.843137
-71.4,340,3887.166581
12.211221,1000,3897.730081
-44.983819,1000,3908.045717
-35.275081,1000,3917.896201
109.059233,1000,3927.640729
150.95057,1000,3937.358566
-59.839357,1000,3946.677879
24.629897,198,3948.684817
62.420382,1000,3958.585742
177.602524,1000,3968.492859
76.029963,1000,3978.054025
-133.65623,689,3984.821741
-46.428571,1000,3993.878771
-45.652174,1000,4003.076749
-27.835052,1000,4012.04406
-51.661631,1000,4021.607472
-13.621262,1000,4030.671077
150.0,1000,4039.72246
-66.767372,1000,4048.833812
25.0,1000,4058.443921
-41.391941,1000,4067.595567
12.956811,1000,4077.166028
-26.751592,1000,4086.999594
31.195335,1000,4096.923894
-26.829268,1000,4106.558906
-14.089347,1000,4116.438107
-126.712052,659,4123.103535
-131.28254,917,4134.701294
41.843972,1000,4146.984348
138.938053,1000,4159.339892
-27.083333,1000,4170.587026
165.822785,1000,4181.207364
24.113475,1000,4190.874884
-15.254237,1000,4200.588248
99.367089,1000,4210.702792
-23.502817,398,4214.707774
43.812709,1000,4224.872952
81.735986,848,4233.451966
115.613383,1000,4243.103963
-40.859259,817,4251.196048
165.100671,1000,4260.848856
13.924051,1000,4270.427092
-39.716312,1000,4279.760283
66.134185,1000,4289.832304
14.186851,1000,4299.717421
48.734177,1000,4309.606829
-64.959176,924,4318.116576
22.206299,275,4321.061294
156.916996,1000,4330.713941
-32.258065,1000,4340.266201
-19.753086,1000,4350.140338
77.700348,1000,4360.350642
201.775148,1000,4370.330568
186.195286,1000,4380.081708
270.37037,1000,4389.914662
5.4,447,4394.41258
-52.554745,1000,4404.046562
209.701493,1000,4414.034735
366.192171,1000,4423.905706
13.360324,1000,4433.689975
213.793103,1000,4443.677342
270.37037,1000,4453.636681
-85.662411,425,4457.634188
229.710145,1000,4467.715505
307.017544,1000,4477.519296
636.842105,1000,4487.533512
270.106762,1000,4497.54097
-1.754386,1000,4507.539377
20.401338,1000,4517.303965
244.594595,1000,4526.976908
3.311765,512,4532.04233
292.971246,1000,4542.217239
26.54321,1000,4551.875533
-8.44498,973,4560.965267
157.234727,1000,4570.602977
393.103448,1000,4580.491672
234.437086,1000,4590.264413
245.276873,1000,4599.950925
-77.153355,731,4606.819881
-37.5,1000,4616.788911
-11.262799,1000,4626.948015
-41.874194,952,4853.466119
392.957746,1000,4863.734588
390.131579,1000,4873.815849
567.785235,1000,4883.486004
22.935897,246,4885.893932
313.793103,1000,4895.683993
311.149826,1000,4905.584054
216.546763,1000,4914.836298
235.820896,1000,4924.583467
161.904762,1000,4933.879688
239.160839,1000,4943.614837
214.878893,1000,4953.6181
187.292818,1000,4963.559332
40.522876,1000,4973.015022
386.988848,1000,4983.275114
85.314685,1000,4993.093484
-20.265781,1000,5002.998033
63.265306,1000,5013.243256
118.309859,1000,5023.029185
35.896587,212,5025.197305
25.0,1000,5034.701374
129.281768,1000,5045.057215
259.375,1000,5055.196256
217.913869,435,5059.427918
192.682927,1000,5068.829076
398.316498,1000,5078.915399
166.18705,1000,5088.74513
327.509294,1000,5098.357443
419.163763,1000,5108.249418
272.693727,1000,5117.871016
42.512721,484,5122.841552
415.570934,1000,5132.483693
437.549407,1000,5142.236076
246.428571,1000,5151.531983
149.230769,1000,5161.511293
264.285714,1000,5171.159679
29.981529,198,5173.151122
28.426971,252,5175.586515
318.072727,593,5181.51178
286.861314,1000,5191.345956
342.446043,1000,5200.807464
246.227536,488,5205.411504
481.881533,1000,5215.167178
348.717949,1000,5225.206349
168.75,1000,5235.03849
32.570588,440,5239.356036
265.313653,1000,5248.628353
36.986301,1000,5258.189642
120.030769,993,5267.710628
81.15942,1000,5277.278886
141.269841,1000,5287.16015
266.84386,508,5292.081741
378.815789,476,5296.782476
-34.85342,1000,5306.190193
112.236364,715,5313.408299
9.286076,617,5319.520596
178.980645,437,5323.759825
158.899676,1000,5333.135439
29.92126,1000,5342.48992
153.472222,1000,5351.913725
311.242604,1000,5361.697301
