#{"t_start": 1764011848.044468, "env_id": "CarRacing-v3"}
r,l,t
625.274725,1000,12307.462259
701.346801,1000,12317.817143
818.367347,1000,12334.633076
372.60274,1000,12345.050694
537.681159,1000,12361.391932
415.679443,1000,12371.858192
674.193548,1000,12388.502182
588.046647,1000,12399.228736
767.692308,1000,12415.802411
658.522727,1000,12426.698153
772.727273,1000,12443.225442
844.88189,1000,12453.519213
686.476868,1000,12469.787485
564.335664,1000,12480.200384
452.238806,1000,12496.948053
549.122807,1000,12507.648405
591.558442,1000,12524.109634
558.62069,1000,12534.754575
578.700361,1000,12551.060762
455.910543,1000,12561.740184
610.526316,1000,12578.677864
485.185185,1000,12589.298883
692.207792,1000,12605.768941
853.307393,1000,12616.167905
855.390335,1000,12627.769926
805.263158,1000,12644.149357
871.193416,1000,12654.469405
821.768707,1000,12671.033803
855.284553,1000,12681.214743
846.619217,1000,12698.636735
784.758364,1000,12709.945975
683.882784,1000,12726.464784
800.70922,1000,12736.716982
221.299639,1000,12753.350542
687.301587,1000,12763.932231
892.366412,1000,12780.214743
860.992908,1000,12790.540746
561.654135,1000,12807.081668
915.3,847,12815.858246
760.465116,1000,12832.196334
812.751678,1000,12842.519017
790.566038,1000,12858.667621
567.79661,1000,12869.771005
523.655914,1000,12885.905084
786.666667,1000,12896.276307
907.2,928,12911.713241
896.563574,1000,12922.422812
156.756757,1000,12938.723972
901.0,990,12949.045333
865.648855,1000,12965.467968
520.805369,1000,12975.845694
673.333333,1000,12992.525124
532.716049,1000,13003.234706
903.8,962,13019.190018
908.7,913,13028.765056
905.4,946,13038.572988
712.307692,1000,13055.460156
890.033223,1000,13065.870174
916.1,839,13080.594459
906.6,934,13090.33478
500.706714,1000,13106.923516
635.973597,1000,13117.495212
370.383275,1000,13133.931329
887.261146,1000,13144.573405
695.454545,1000,13161.15655
864.705882,1000,13171.745284
889.51049,1000,13190.299668
817.763158,1000,13200.923647
847.183099,1000,13217.263484
880.0,1000,13228.181407
793.687708,1000,13244.55986
908.9,911,13253.910722
454.770318,1000,13270.682457
379.865772,1000,13281.42081
896.503497,1000,13298.233324
836.877076,1000,13308.890439
459.440559,1000,13325.299118
757.142857,1000,13335.976139
850.35461,1000,13347.65487
864.285714,1000,13365.092757
895.951417,1000,13376.549574
863.815789,1000,13394.462706
874.910394,1000,13405.344132
872.318339,1000,13421.841651
763.481229,1000,13432.330941
859.322034,1000,13449.222389
564.723032,1000,13461.329899
863.636364,1000,13481.241659
872.696246,1000,13493.081267
717.589577,1000,13510.090472
867.153285,1000,13521.331717
737.579618,1000,13539.654484
738.607595,1000,13550.283583
749.180328,1000,13566.86047
817.562724,1000,13577.564119
785.714286,1000,13596.787049
780.952381,1000,13607.335835
432.307692,1000,13627.147689
720.689655,1000,13639.530295
836.39576,1000,13659.93785
839.0681,1000,13672.000712
840.140845,1000,13689.63684
307.894737,1000,13701.389193
821.933086,1000,13720.65893
25.412541,1000,13731.298277
688.590604,1000,13748.940597
842.238267,1000,13760.507597
797.435897,1000,13780.620078
388.636364,1000,13790.832418
355.223881,1000,13808.101804
565.562914,1000,13818.743943
878.647687,1000,13835.407495
733.333333,1000,13846.428572
885.347985,1000,13863.613
553.374233,1000,13874.211412
867.741935,1000,13891.485033
865.753425,1000,13902.019974
668.025078,1000,13918.726691
882.758621,1000,13929.69414
227.380952,1000,13949.32163
796.551724,1000,13960.187003
877.198697,1000,13970.819554
889.169675,1000,13988.667475
905.4,946,14000.866345
900.7,993,14018.336457
896.415771,1000,14029.082623
912.6,874,14044.593418
905.3,947,14054.62926
824.528302,1000,14072.168921
908.2,918,14081.809926
871.631206,1000,14098.374017
866.887417,1000,14108.721069
883.164983,1000,14125.324984
917.5,825,14133.703878
907.0,930,14149.122985
44.732847,269,14151.882614
5.524242,370,14155.761214
916.6,834,14165.638996
887.012987,1000,14183.545263
880.916031,1000,14193.692764
658.62069,1000,14209.972609
889.864865,1000,14220.584403
901.0,990,14237.134253
229.994118,929,14247.01131
201.502985,680,14260.545733
847.019868,1000,14270.887313
873.977695,1000,14281.065723
864.0,1000,14297.133876
881.481481,1000,14308.131609
791.891892,1000,14324.428753
760.0,1000,14335.183981
870.909091,1000,14351.58466
700.0,1000,14362.648453
784.057971,1000,14379.581731
4.274608,557,14385.484728
234.672956,931,14402.472806
716.949153,1000,14413.214252
770.0,1000,14429.774086
722.006472,1000,14440.138857
603.947368,1000,14456.403463
549.180328,1000,14466.761043
630.263158,1000,14483.510611
559.259259,1000,14493.712309
784.10596,1000,14510.298872
792.255892,1000,14521.851891
582.170543,1000,14538.255146
623.214286,1000,14549.486162
592.307692,1000,14561.432019
697.342193,1000,14579.992678
795.683453,1000,14591.165272
783.561644,1000,14611.580193
813.978495,1000,14622.494249
637.201365,1000,14642.030862
896.402878,1000,14653.889832
915.1,849,14674.046944
885.815603,1000,14685.556053
890.322581,1000,14703.330872
917.4,826,14712.32346
909.1,909,14729.93104
587.719298,1000,14740.629373
893.442623,1000,14757.406839
918.9,811,14766.001992
62.079511,1000,14782.897146
34.680135,1000,14793.839957
256.401384,1000,14804.589629
641.134752,1000,14823.212315
329.878049,1000,14834.172315
919.0,810,14849.49357
912.0,880,14858.922842
908.8,912,14876.691139
649.06367,1000,14887.830886
917.4,826,14903.37173
923.0,770,14911.960708
265.591398,1000,14923.481794
869.69697,1000,14940.924552
919.6,804,14949.237299
677.456647,1000,14966.145098
705.031447,1000,14976.49634
907.4,926,14991.894858
877.198697,1000,15004.369819
905.2,948,15023.034643
510.909091,1000,15033.349326
911.8,882,15048.380528
917.4,826,15056.79818
271.335505,1000,15072.988331
885.074627,1000,15083.488397
909.6,904,15092.865712
914.6,854,15107.688651
908.0,920,15117.227406
453.458824,937,15132.792559
905.8,942,15142.657191
900.3,997,15159.144672
907.8,922,15170.64955
912.6,874,15188.35265
875.460123,1000,15200.536886
880.066445,1000,15220.883631
909.4,906,15231.186245
922.7,773,15239.528374
907.0,930,15255.470891
910.6,894,15265.561974
840.809969,1000,15282.123643
912.2,878,15291.114763
901.4,986,15307.617174
909.0,910,15316.980393
698.634812,1000,15333.751322
547.249191,1000,15344.034639
909.6,904,15359.369901
909.8,902,15368.788821
904.1,959,15378.835559
913.7,863,15393.965706
909.9,901,15403.264041
